id,user_id,account_id,number,type,status,issued_at,updated_at
1,1,1,1111222233334444,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
2,1,2,1234567812345678,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
3,1,,5555666677778888,credit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
4,2,3,9999000011112222,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
5,2,4,2345678923456789,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
6,2,5,3456789034567890,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
7,2,,3333444455556666,credit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
8,3,6,2222333344445555,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
9,3,7,4567890145678901,debit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
10,3,,6666777788889999,credit,active,2024-10-02 17:33:16,2024-10-02 17:33:16
